poi [nm],stage_pos [m]
664.437,0.30827000000000004
675.273,0.30796
686.073,0.30764
695.673,0.30728
727.673,0.306614
750.073,0.30618
771.273,0.305806
825.9,0.305076
840.0,0.304924
855.0,0.304778
902.4,0.30442199999999997
952.0,0.304224
