poi [nm],big D [ps / (nm km)]
664.437,-205.89347922875584
675.273,-194.23379894428436
686.073,-182.9954950002471
695.673,-173.3265855297313
727.673,-143.2767683189069
750.073,-124.23732582427766
771.273,-107.7314559485014
825.9,-71.98301625992002
840.0,-64.34268961503088
855.0,-56.92946474782997
902.4,-38.34709731818294
952.0,-26.780745407693033
